time,负载功率(kW),TOU计划功率(kW),逆变功率(kW),逆变设置功率(kW),逆变限制功率(kW),电池功率(kW),电池设置功率(kW),储能SOC(%),电网功率(kW),光伏功率(kW)
2026-02-26 00:00:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:01:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:02:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:03:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:04:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:05:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:06:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:07:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:08:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:09:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:10:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:11:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:12:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:13:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:14:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:15:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:16:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:17:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:18:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:19:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:20:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:21:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:22:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:23:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:24:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:25:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:26:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:27:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:28:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:29:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:30:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:31:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:32:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:33:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:34:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:35:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:36:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:37:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:38:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:39:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:40:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:41:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:42:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:43:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:44:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:45:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:46:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:47:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:48:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:49:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:50:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
2026-02-26 00:51:00,45.0,0.0,0.0,0.0,125.0,0.0,,10.0,45.0,0.0
