time,光伏功率(kW),光伏可用功率(kW),弃光功率(kW),正向有功总电能
2026-02-26 00:00:00,0.0,0.0,0.0,0.0
2026-02-26 00:01:00,0.0,0.0,0.0,0.0
2026-02-26 00:02:00,0.0,0.0,0.0,0.0
2026-02-26 00:03:00,0.0,0.0,0.0,0.0
2026-02-26 00:04:00,0.0,0.0,0.0,0.0
2026-02-26 00:05:00,0.0,0.0,0.0,0.0
2026-02-26 00:06:00,0.0,0.0,0.0,0.0
2026-02-26 00:07:00,0.0,0.0,0.0,0.0
2026-02-26 00:08:00,0.0,0.0,0.0,0.0
2026-02-26 00:09:00,0.0,0.0,0.0,0.0
2026-02-26 00:10:00,0.0,0.0,0.0,0.0
2026-02-26 00:11:00,0.0,0.0,0.0,0.0
2026-02-26 00:12:00,0.0,0.0,0.0,0.0
2026-02-26 00:13:00,0.0,0.0,0.0,0.0
2026-02-26 00:14:00,0.0,0.0,0.0,0.0
2026-02-26 00:15:00,0.0,0.0,0.0,0.0
2026-02-26 00:16:00,0.0,0.0,0.0,0.0
2026-02-26 00:17:00,0.0,0.0,0.0,0.0
2026-02-26 00:18:00,0.0,0.0,0.0,0.0
2026-02-26 00:19:00,0.0,0.0,0.0,0.0
2026-02-26 00:20:00,0.0,0.0,0.0,0.0
2026-02-26 00:21:00,0.0,0.0,0.0,0.0
2026-02-26 00:22:00,0.0,0.0,0.0,0.0
2026-02-26 00:23:00,0.0,0.0,0.0,0.0
2026-02-26 00:24:00,0.0,0.0,0.0,0.0
2026-02-26 00:25:00,0.0,0.0,0.0,0.0
2026-02-26 00:26:00,0.0,0.0,0.0,0.0
2026-02-26 00:27:00,0.0,0.0,0.0,0.0
2026-02-26 00:28:00,0.0,0.0,0.0,0.0
2026-02-26 00:29:00,0.0,0.0,0.0,0.0
2026-02-26 00:30:00,0.0,0.0,0.0,0.0
2026-02-26 00:31:00,0.0,0.0,0.0,0.0
2026-02-26 00:32:00,0.0,0.0,0.0,0.0
2026-02-26 00:33:00,0.0,0.0,0.0,0.0
2026-02-26 00:34:00,0.0,0.0,0.0,0.0
2026-02-26 00:35:00,0.0,0.0,0.0,0.0
2026-02-26 00:36:00,0.0,0.0,0.0,0.0
2026-02-26 00:37:00,0.0,0.0,0.0,0.0
2026-02-26 00:38:00,0.0,0.0,0.0,0.0
2026-02-26 00:39:00,0.0,0.0,0.0,0.0
2026-02-26 00:40:00,0.0,0.0,0.0,0.0
2026-02-26 00:41:00,0.0,0.0,0.0,0.0
2026-02-26 00:42:00,0.0,0.0,0.0,0.0
2026-02-26 00:43:00,0.0,0.0,0.0,0.0
2026-02-26 00:44:00,0.0,0.0,0.0,0.0
2026-02-26 00:45:00,0.0,0.0,0.0,0.0
2026-02-26 00:46:00,0.0,0.0,0.0,0.0
2026-02-26 00:47:00,0.0,0.0,0.0,0.0
2026-02-26 00:48:00,0.0,0.0,0.0,0.0
2026-02-26 00:49:00,0.0,0.0,0.0,0.0
2026-02-26 00:50:00,0.0,0.0,0.0,0.0
2026-02-26 00:51:00,0.0,0.0,0.0,0.0
2026-02-26 00:52:00,0.0,0.0,0.0,0.0
2026-02-26 00:53:00,0.0,0.0,0.0,0.0
2026-02-26 00:54:00,0.0,0.0,0.0,0.0
2026-02-26 00:55:00,0.0,0.0,0.0,0.0
2026-02-26 00:56:00,0.0,0.0,0.0,0.0
2026-02-26 00:57:00,0.0,0.0,0.0,0.0
2026-02-26 00:58:00,0.0,0.0,0.0,0.0
2026-02-26 00:59:00,0.0,0.0,0.0,0.0
2026-02-26 01:00:00,0.0,0.0,0.0,0.0
2026-02-26 01:01:00,0.0,0.0,0.0,0.0
2026-02-26 01:02:00,0.0,0.0,0.0,0.0
2026-02-26 01:03:00,0.0,0.0,0.0,0.0
2026-02-26 01:04:00,0.0,0.0,0.0,0.0
2026-02-26 01:05:00,0.0,0.0,0.0,0.0
2026-02-26 01:06:00,0.0,0.0,0.0,0.0
2026-02-26 01:07:00,0.0,0.0,0.0,0.0
2026-02-26 01:08:00,0.0,0.0,0.0,0.0
2026-02-26 01:09:00,0.0,0.0,0.0,0.0
2026-02-26 01:10:00,0.0,0.0,0.0,0.0
2026-02-26 01:11:00,0.0,0.0,0.0,0.0
2026-02-26 01:12:00,0.0,0.0,0.0,0.0
2026-02-26 01:13:00,0.0,0.0,0.0,0.0
2026-02-26 01:14:00,0.0,0.0,0.0,0.0
2026-02-26 01:15:00,0.0,0.0,0.0,0.0
2026-02-26 01:16:00,0.0,0.0,0.0,0.0
2026-02-26 01:17:00,0.0,0.0,0.0,0.0
2026-02-26 01:18:00,0.0,0.0,0.0,0.0
2026-02-26 01:19:00,0.0,0.0,0.0,0.0
2026-02-26 01:20:00,0.0,0.0,0.0,0.0
2026-02-26 01:21:00,0.0,0.0,0.0,0.0
2026-02-26 01:22:00,0.0,0.0,0.0,0.0
2026-02-26 01:23:00,0.0,0.0,0.0,0.0
2026-02-26 01:24:00,0.0,0.0,0.0,0.0
2026-02-26 01:25:00,0.0,0.0,0.0,0.0
2026-02-26 01:26:00,0.0,0.0,0.0,0.0
2026-02-26 01:27:00,0.0,0.0,0.0,0.0
2026-02-26 01:28:00,0.0,0.0,0.0,0.0
2026-02-26 01:29:00,0.0,0.0,0.0,0.0
2026-02-26 01:30:00,0.0,0.0,0.0,0.0
2026-02-26 01:31:00,0.0,0.0,0.0,0.0
2026-02-26 01:32:00,0.0,0.0,0.0,0.0
2026-02-26 01:33:00,0.0,0.0,0.0,0.0
2026-02-26 01:34:00,0.0,0.0,0.0,0.0
2026-02-26 01:35:00,0.0,0.0,0.0,0.0
2026-02-26 01:36:00,0.0,0.0,0.0,0.0
2026-02-26 01:37:00,0.0,0.0,0.0,0.0
2026-02-26 01:38:00,0.0,0.0,0.0,0.0
2026-02-26 01:39:00,0.0,0.0,0.0,0.0
2026-02-26 01:40:00,0.0,0.0,0.0,0.0
2026-02-26 01:41:00,0.0,0.0,0.0,0.0
2026-02-26 01:42:00,0.0,0.0,0.0,0.0
2026-02-26 01:43:00,0.0,0.0,0.0,0.0
2026-02-26 01:44:00,0.0,0.0,0.0,0.0
2026-02-26 01:45:00,0.0,0.0,0.0,0.0
2026-02-26 01:46:00,0.0,0.0,0.0,0.0
2026-02-26 01:47:00,0.0,0.0,0.0,0.0
2026-02-26 01:48:00,0.0,0.0,0.0,0.0
2026-02-26 01:49:00,0.0,0.0,0.0,0.0
2026-02-26 01:50:00,0.0,0.0,0.0,0.0
2026-02-26 01:51:00,0.0,0.0,0.0,0.0
2026-02-26 01:52:00,0.0,0.0,0.0,0.0
2026-02-26 01:53:00,0.0,0.0,0.0,0.0
2026-02-26 01:54:00,0.0,0.0,0.0,0.0
2026-02-26 01:55:00,0.0,0.0,0.0,0.0
2026-02-26 01:56:00,0.0,0.0,0.0,0.0
2026-02-26 01:57:00,0.0,0.0,0.0,0.0
2026-02-26 01:58:00,0.0,0.0,0.0,0.0
2026-02-26 01:59:00,0.0,0.0,0.0,0.0
2026-02-26 02:00:00,0.0,0.0,0.0,0.0
2026-02-26 02:01:00,0.0,0.0,0.0,0.0
2026-02-26 02:02:00,0.0,0.0,0.0,0.0
2026-02-26 02:03:00,0.0,0.0,0.0,0.0
2026-02-26 02:04:00,0.0,0.0,0.0,0.0
2026-02-26 02:05:00,0.0,0.0,0.0,0.0
2026-02-26 02:06:00,0.0,0.0,0.0,0.0
2026-02-26 02:07:00,0.0,0.0,0.0,0.0
2026-02-26 02:08:00,0.0,0.0,0.0,0.0
2026-02-26 02:09:00,0.0,0.0,0.0,0.0
2026-02-26 02:10:00,0.0,0.0,0.0,0.0
2026-02-26 02:11:00,0.0,0.0,0.0,0.0
2026-02-26 02:12:00,0.0,0.0,0.0,0.0
2026-02-26 02:13:00,0.0,0.0,0.0,0.0
2026-02-26 02:14:00,0.0,0.0,0.0,0.0
2026-02-26 02:15:00,0.0,0.0,0.0,0.0
2026-02-26 02:16:00,0.0,0.0,0.0,0.0
2026-02-26 02:17:00,0.0,0.0,0.0,0.0
2026-02-26 02:18:00,0.0,0.0,0.0,0.0
2026-02-26 02:19:00,0.0,0.0,0.0,0.0
2026-02-26 02:20:00,0.0,0.0,0.0,0.0
2026-02-26 02:21:00,0.0,0.0,0.0,0.0
2026-02-26 02:22:00,0.0,0.0,0.0,0.0
2026-02-26 02:23:00,0.0,0.0,0.0,0.0
2026-02-26 02:24:00,0.0,0.0,0.0,0.0
2026-02-26 02:25:00,0.0,0.0,0.0,0.0
2026-02-26 02:26:00,0.0,0.0,0.0,0.0
2026-02-26 02:27:00,0.0,0.0,0.0,0.0
2026-02-26 02:28:00,0.0,0.0,0.0,0.0
2026-02-26 02:29:00,0.0,0.0,0.0,0.0
2026-02-26 02:30:00,0.0,0.0,0.0,0.0
2026-02-26 02:31:00,0.0,0.0,0.0,0.0
2026-02-26 02:32:00,0.0,0.0,0.0,0.0
2026-02-26 02:33:00,0.0,0.0,0.0,0.0
2026-02-26 02:34:00,0.0,0.0,0.0,0.0
2026-02-26 02:35:00,0.0,0.0,0.0,0.0
2026-02-26 02:36:00,0.0,0.0,0.0,0.0
2026-02-26 02:37:00,0.0,0.0,0.0,0.0
2026-02-26 02:38:00,0.0,0.0,0.0,0.0
2026-02-26 02:39:00,0.0,0.0,0.0,0.0
2026-02-26 02:40:00,0.0,0.0,0.0,0.0
2026-02-26 02:41:00,0.0,0.0,0.0,0.0
2026-02-26 02:42:00,0.0,0.0,0.0,0.0
2026-02-26 02:43:00,0.0,0.0,0.0,0.0
2026-02-26 02:44:00,0.0,0.0,0.0,0.0
2026-02-26 02:45:00,0.0,0.0,0.0,0.0
2026-02-26 02:46:00,0.0,0.0,0.0,0.0
2026-02-26 02:47:00,0.0,0.0,0.0,0.0
2026-02-26 02:48:00,0.0,0.0,0.0,0.0
2026-02-26 02:49:00,0.0,0.0,0.0,0.0
2026-02-26 02:50:00,0.0,0.0,0.0,0.0
2026-02-26 02:51:00,0.0,0.0,0.0,0.0
2026-02-26 02:52:00,0.0,0.0,0.0,0.0
2026-02-26 02:53:00,0.0,0.0,0.0,0.0
2026-02-26 02:54:00,0.0,0.0,0.0,0.0
2026-02-26 02:55:00,0.0,0.0,0.0,0.0
2026-02-26 02:56:00,0.0,0.0,0.0,0.0
2026-02-26 02:57:00,0.0,0.0,0.0,0.0
2026-02-26 02:58:00,0.0,0.0,0.0,0.0
2026-02-26 02:59:00,0.0,0.0,0.0,0.0
2026-02-26 03:00:00,0.0,0.0,0.0,0.0
2026-02-26 03:01:00,0.0,0.0,0.0,0.0
2026-02-26 03:02:00,0.0,0.0,0.0,0.0
2026-02-26 03:03:00,0.0,0.0,0.0,0.0
2026-02-26 03:04:00,0.0,0.0,0.0,0.0
2026-02-26 03:05:00,0.0,0.0,0.0,0.0
2026-02-26 03:06:00,0.0,0.0,0.0,0.0
2026-02-26 03:07:00,0.0,0.0,0.0,0.0
2026-02-26 03:08:00,0.0,0.0,0.0,0.0
2026-02-26 03:09:00,0.0,0.0,0.0,0.0
2026-02-26 03:10:00,0.0,0.0,0.0,0.0
2026-02-26 03:11:00,0.0,0.0,0.0,0.0
2026-02-26 03:12:00,0.0,0.0,0.0,0.0
2026-02-26 03:13:00,0.0,0.0,0.0,0.0
2026-02-26 03:14:00,0.0,0.0,0.0,0.0
2026-02-26 03:15:00,0.0,0.0,0.0,0.0
2026-02-26 03:16:00,0.0,0.0,0.0,0.0
2026-02-26 03:17:00,0.0,0.0,0.0,0.0
2026-02-26 03:18:00,0.0,0.0,0.0,0.0
2026-02-26 03:19:00,0.0,0.0,0.0,0.0
2026-02-26 03:20:00,0.0,0.0,0.0,0.0
2026-02-26 03:21:00,0.0,0.0,0.0,0.0
2026-02-26 03:22:00,0.0,0.0,0.0,0.0
2026-02-26 03:23:00,0.0,0.0,0.0,0.0
2026-02-26 03:24:00,0.0,0.0,0.0,0.0
2026-02-26 03:25:00,0.0,0.0,0.0,0.0
2026-02-26 03:26:00,0.0,0.0,0.0,0.0
2026-02-26 03:27:00,0.0,0.0,0.0,0.0
2026-02-26 03:28:00,0.0,0.0,0.0,0.0
2026-02-26 03:29:00,0.0,0.0,0.0,0.0
2026-02-26 03:30:00,0.0,0.0,0.0,0.0
2026-02-26 03:31:00,0.0,0.0,0.0,0.0
2026-02-26 03:32:00,0.0,0.0,0.0,0.0
2026-02-26 03:33:00,0.0,0.0,0.0,0.0
2026-02-26 03:34:00,0.0,0.0,0.0,0.0
2026-02-26 03:35:00,0.0,0.0,0.0,0.0
2026-02-26 03:36:00,0.0,0.0,0.0,0.0
2026-02-26 03:37:00,0.0,0.0,0.0,0.0
2026-02-26 03:38:00,0.0,0.0,0.0,0.0
2026-02-26 03:39:00,0.0,0.0,0.0,0.0
2026-02-26 03:40:00,0.0,0.0,0.0,0.0
2026-02-26 03:41:00,0.0,0.0,0.0,0.0
2026-02-26 03:42:00,0.0,0.0,0.0,0.0
2026-02-26 03:43:00,0.0,0.0,0.0,0.0
2026-02-26 03:44:00,0.0,0.0,0.0,0.0
2026-02-26 03:45:00,0.0,0.0,0.0,0.0
2026-02-26 03:46:00,0.0,0.0,0.0,0.0
2026-02-26 03:47:00,0.0,0.0,0.0,0.0
2026-02-26 03:48:00,0.0,0.0,0.0,0.0
2026-02-26 03:49:00,0.0,0.0,0.0,0.0
2026-02-26 03:50:00,0.0,0.0,0.0,0.0
2026-02-26 03:51:00,0.0,0.0,0.0,0.0
2026-02-26 03:52:00,0.0,0.0,0.0,0.0
2026-02-26 03:53:00,0.0,0.0,0.0,0.0
2026-02-26 03:54:00,0.0,0.0,0.0,0.0
2026-02-26 03:55:00,0.0,0.0,0.0,0.0
2026-02-26 03:56:00,0.0,0.0,0.0,0.0
2026-02-26 03:57:00,0.0,0.0,0.0,0.0
2026-02-26 03:58:00,0.0,0.0,0.0,0.0
2026-02-26 03:59:00,0.0,0.0,0.0,0.0
2026-02-26 04:00:00,0.0,0.0,0.0,0.0
2026-02-26 04:01:00,0.0,0.0,0.0,0.0
2026-02-26 04:02:00,0.0,0.0,0.0,0.0
2026-02-26 04:03:00,0.0,0.0,0.0,0.0
2026-02-26 04:04:00,0.0,0.0,0.0,0.0
2026-02-26 04:05:00,0.0,0.0,0.0,0.0
2026-02-26 04:06:00,0.0,0.0,0.0,0.0
2026-02-26 04:07:00,0.0,0.0,0.0,0.0
2026-02-26 04:08:00,0.0,0.0,0.0,0.0
2026-02-26 04:09:00,0.0,0.0,0.0,0.0
2026-02-26 04:10:00,0.0,0.0,0.0,0.0
2026-02-26 04:11:00,0.0,0.0,0.0,0.0
2026-02-26 04:12:00,0.0,0.0,0.0,0.0
2026-02-26 04:13:00,0.0,0.0,0.0,0.0
2026-02-26 04:14:00,0.0,0.0,0.0,0.0
2026-02-26 04:15:00,0.0,0.0,0.0,0.0
2026-02-26 04:16:00,0.0,0.0,0.0,0.0
2026-02-26 04:17:00,0.0,0.0,0.0,0.0
2026-02-26 04:18:00,0.0,0.0,0.0,0.0
2026-02-26 04:19:00,0.0,0.0,0.0,0.0
2026-02-26 04:20:00,0.0,0.0,0.0,0.0
2026-02-26 04:21:00,0.0,0.0,0.0,0.0
2026-02-26 04:22:00,0.0,0.0,0.0,0.0
2026-02-26 04:23:00,0.0,0.0,0.0,0.0
2026-02-26 04:24:00,0.0,0.0,0.0,0.0
2026-02-26 04:25:00,0.0,0.0,0.0,0.0
2026-02-26 04:26:00,0.0,0.0,0.0,0.0
2026-02-26 04:27:00,0.0,0.0,0.0,0.0
2026-02-26 04:28:00,0.0,0.0,0.0,0.0
2026-02-26 04:29:00,0.0,0.0,0.0,0.0
2026-02-26 04:30:00,0.0,0.0,0.0,0.0
2026-02-26 04:31:00,0.0,0.0,0.0,0.0
2026-02-26 04:32:00,0.0,0.0,0.0,0.0
2026-02-26 04:33:00,0.0,0.0,0.0,0.0
2026-02-26 04:34:00,0.0,0.0,0.0,0.0
2026-02-26 04:35:00,0.0,0.0,0.0,0.0
2026-02-26 04:36:00,0.0,0.0,0.0,0.0
2026-02-26 04:37:00,0.0,0.0,0.0,0.0
2026-02-26 04:38:00,0.0,0.0,0.0,0.0
2026-02-26 04:39:00,0.0,0.0,0.0,0.0
2026-02-26 04:40:00,0.0,0.0,0.0,0.0
2026-02-26 04:41:00,0.0,0.0,0.0,0.0
2026-02-26 04:42:00,0.0,0.0,0.0,0.0
2026-02-26 04:43:00,0.0,0.0,0.0,0.0
2026-02-26 04:44:00,0.0,0.0,0.0,0.0
2026-02-26 04:45:00,0.0,0.0,0.0,0.0
2026-02-26 04:46:00,0.0,0.0,0.0,0.0
2026-02-26 04:47:00,0.0,0.0,0.0,0.0
2026-02-26 04:48:00,0.0,0.0,0.0,0.0
2026-02-26 04:49:00,0.0,0.0,0.0,0.0
2026-02-26 04:50:00,0.0,0.0,0.0,0.0
2026-02-26 04:51:00,0.0,0.0,0.0,0.0
2026-02-26 04:52:00,0.0,0.0,0.0,0.0
2026-02-26 04:53:00,0.0,0.0,0.0,0.0
2026-02-26 04:54:00,0.0,0.0,0.0,0.0
2026-02-26 04:55:00,0.0,0.0,0.0,0.0
2026-02-26 04:56:00,0.0,0.0,0.0,0.0
2026-02-26 04:57:00,0.0,0.0,0.0,0.0
2026-02-26 04:58:00,0.0,0.0,0.0,0.0
2026-02-26 04:59:00,0.0,0.0,0.0,0.0
2026-02-26 05:00:00,0.0,0.0,0.0,0.0
2026-02-26 05:01:00,0.0,0.0,0.0,0.0
2026-02-26 05:02:00,0.0,0.0,0.0,0.0
2026-02-26 05:03:00,0.0,0.0,0.0,0.0
2026-02-26 05:04:00,0.0,0.0,0.0,0.0
2026-02-26 05:05:00,0.0,0.0,0.0,0.0
2026-02-26 05:06:00,0.0,0.0,0.0,0.0
2026-02-26 05:07:00,0.0,0.0,0.0,0.0
2026-02-26 05:08:00,0.0,0.0,0.0,0.0
2026-02-26 05:09:00,0.0,0.0,0.0,0.0
2026-02-26 05:10:00,0.0,0.0,0.0,0.0
2026-02-26 05:11:00,0.0,0.0,0.0,0.0
2026-02-26 05:12:00,0.0,0.0,0.0,0.0
2026-02-26 05:13:00,0.0,0.0,0.0,0.0
2026-02-26 05:14:00,0.0,0.0,0.0,0.0
2026-02-26 05:15:00,0.0,0.0,0.0,0.0
2026-02-26 05:16:00,0.0,0.0,0.0,0.0
2026-02-26 05:17:00,0.0,0.0,0.0,0.0
2026-02-26 05:18:00,0.0,0.0,0.0,0.0
2026-02-26 05:19:00,0.0,0.0,0.0,0.0
2026-02-26 05:20:00,0.0,0.0,0.0,0.0
2026-02-26 05:21:00,0.0,0.0,0.0,0.0
2026-02-26 05:22:00,0.0,0.0,0.0,0.0
2026-02-26 05:23:00,0.0,0.0,0.0,0.0
2026-02-26 05:24:00,0.0,0.0,0.0,0.0
2026-02-26 05:25:00,0.0,0.0,0.0,0.0
2026-02-26 05:26:00,0.0,0.0,0.0,0.0
2026-02-26 05:27:00,0.0,0.0,0.0,0.0
2026-02-26 05:28:00,0.0,0.0,0.0,0.0
2026-02-26 05:29:00,0.0,0.0,0.0,0.0
2026-02-26 05:30:00,0.0,0.0,0.0,0.0
2026-02-26 05:31:00,0.0,0.0,0.0,0.0
2026-02-26 05:32:00,0.0,0.0,0.0,0.0
2026-02-26 05:33:00,0.0,0.0,0.0,0.0
2026-02-26 05:34:00,0.0,0.0,0.0,0.0
2026-02-26 05:35:00,0.0,0.0,0.0,0.0
2026-02-26 05:36:00,0.0,0.0,0.0,0.0
2026-02-26 05:37:00,0.0,0.0,0.0,0.0
2026-02-26 05:38:00,0.0,0.0,0.0,0.0
2026-02-26 05:39:00,0.0,0.0,0.0,0.0
2026-02-26 05:40:00,0.0,0.0,0.0,0.0
2026-02-26 05:41:00,0.0,0.0,0.0,0.0
2026-02-26 05:42:00,0.0,0.0,0.0,0.0
2026-02-26 05:43:00,0.0,0.0,0.0,0.0
2026-02-26 05:44:00,0.0,0.0,0.0,0.0
2026-02-26 05:45:00,0.0,0.0,0.0,0.0
2026-02-26 05:46:00,0.0,0.0,0.0,0.0
2026-02-26 05:47:00,0.0,0.0,0.0,0.0
2026-02-26 05:48:00,0.0,0.0,0.0,0.0
2026-02-26 05:49:00,0.0,0.0,0.0,0.0
2026-02-26 05:50:00,0.0,0.0,0.0,0.0
2026-02-26 05:51:00,0.0,0.0,0.0,0.0
2026-02-26 05:52:00,0.0,0.0,0.0,0.0
2026-02-26 05:53:00,0.0,0.0,0.0,0.0
2026-02-26 05:54:00,0.0,0.0,0.0,0.0
2026-02-26 05:55:00,0.0,0.0,0.0,0.0
2026-02-26 05:56:00,0.0,0.0,0.0,0.0
2026-02-26 05:57:00,0.0,0.0,0.0,0.0
2026-02-26 05:58:00,0.0,0.0,0.0,0.0
2026-02-26 05:59:00,0.0,0.0,0.0,0.0
2026-02-26 06:00:00,0.0,0.0,0.0,0.0
2026-02-26 06:01:00,0.393,0.393,0.0,0.0065
2026-02-26 06:02:00,0.785,0.785,0.0,0.0196
2026-02-26 06:03:00,1.178,1.178,0.0,0.0393
2026-02-26 06:04:00,1.571,1.571,0.0,0.0654
2026-02-26 06:05:00,1.963,1.963,0.0,0.0982
2026-02-26 06:06:00,2.356,2.356,0.0,0.1374
2026-02-26 06:07:00,2.748,2.748,0.0,0.1832
2026-02-26 06:08:00,3.141,3.141,0.0,0.2356
2026-02-26 06:09:00,3.533,3.533,0.0,0.2945
2026-02-26 06:10:00,3.926,3.926,0.0,0.3599
2026-02-26 06:11:00,4.318,4.318,0.0,0.4319
2026-02-26 06:12:00,4.71,4.71,0.0,0.5104
2026-02-26 06:13:00,5.102,5.102,0.0,0.5954
2026-02-26 06:14:00,5.494,5.494,0.0,0.687
2026-02-26 06:15:00,5.886,5.886,0.0,0.7851
2026-02-26 06:16:00,6.278,6.278,0.0,0.8897
2026-02-26 06:17:00,6.67,6.67,0.0,1.0009
2026-02-26 06:18:00,7.061,7.061,0.0,1.1186
2026-02-26 06:19:00,7.453,7.453,0.0,1.2428
2026-02-26 06:20:00,7.844,7.844,0.0,1.3735
2026-02-26 06:21:00,8.235,8.235,0.0,1.5108
2026-02-26 06:22:00,8.626,8.626,0.0,1.6546
2026-02-26 06:23:00,9.017,9.017,0.0,1.8048
2026-02-26 06:24:00,9.408,9.408,0.0,1.9616
2026-02-26 06:25:00,9.798,9.798,0.0,2.1249
2026-02-26 06:26:00,10.188,10.188,0.0,2.2947
2026-02-26 06:27:00,10.578,10.578,0.0,2.471
2026-02-26 06:28:00,10.968,10.968,0.0,2.6538
2026-02-26 06:29:00,11.358,11.358,0.0,2.8431
2026-02-26 06:30:00,11.747,11.747,0.0,3.0389
2026-02-26 06:31:00,12.137,12.137,0.0,3.2412
2026-02-26 06:32:00,12.526,12.526,0.0,3.45
2026-02-26 06:33:00,12.914,12.914,0.0,3.6652
2026-02-26 06:34:00,13.303,13.303,0.0,3.8869
2026-02-26 06:35:00,13.691,13.691,0.0,4.1151
2026-02-26 06:36:00,14.079,14.079,0.0,4.3498
2026-02-26 06:37:00,14.467,14.467,0.0,4.5909
2026-02-26 06:38:00,14.854,14.854,0.0,4.8384
2026-02-26 06:39:00,15.241,15.241,0.0,5.0925
2026-02-26 06:40:00,15.628,15.628,0.0,5.3529
2026-02-26 06:41:00,16.015,16.015,0.0,5.6199
2026-02-26 06:42:00,16.401,16.401,0.0,5.8932
2026-02-26 06:43:00,16.787,16.787,0.0,6.173
2026-02-26 06:44:00,17.173,17.173,0.0,6.4592
2026-02-26 06:45:00,17.558,17.558,0.0,6.7518
2026-02-26 06:46:00,17.943,17.943,0.0,7.0509
2026-02-26 06:47:00,18.328,18.328,0.0,7.3564
2026-02-26 06:48:00,18.712,18.712,0.0,7.6682
2026-02-26 06:49:00,19.096,19.096,0.0,7.9865
2026-02-26 06:50:00,19.48,19.48,0.0,8.3111
2026-02-26 06:51:00,19.863,19.863,0.0,8.6422
2026-02-26 06:52:00,20.246,20.246,0.0,8.9796
2026-02-26 06:53:00,20.628,20.628,0.0,9.3234
2026-02-26 06:54:00,21.01,21.01,0.0,9.6736
2026-02-26 06:55:00,21.392,21.392,0.0,10.0301
2026-02-26 06:56:00,21.773,21.773,0.0,10.393
2026-02-26 06:57:00,22.154,22.154,0.0,10.7622
2026-02-26 06:58:00,22.534,22.534,0.0,11.1378
2026-02-26 06:59:00,22.914,22.914,0.0,11.5197
2026-02-26 07:00:00,23.294,23.294,0.0,11.9079
2026-02-26 07:01:00,23.673,23.673,0.0,12.3025
2026-02-26 07:02:00,24.051,24.051,0.0,12.7033
2026-02-26 07:03:00,24.43,24.43,0.0,13.1105
2026-02-26 07:04:00,24.807,24.807,0.0,13.524
2026-02-26 07:05:00,25.185,25.185,0.0,13.9437
2026-02-26 07:06:00,25.561,25.561,0.0,14.3697
2026-02-26 07:07:00,25.938,25.938,0.0,14.802
2026-02-26 07:08:00,26.313,26.313,0.0,15.2406
2026-02-26 07:09:00,26.689,26.689,0.0,15.6854
2026-02-26 07:10:00,27.064,27.064,0.0,16.1364
2026-02-26 07:11:00,27.438,27.438,0.0,16.5937
2026-02-26 07:12:00,27.812,27.812,0.0,17.0573
2026-02-26 07:13:00,28.185,28.185,0.0,17.527
2026-02-26 07:14:00,28.557,28.557,0.0,18.003
2026-02-26 07:15:00,28.93,28.93,0.0,18.4851
2026-02-26 07:16:00,29.301,29.301,0.0,18.9735
2026-02-26 07:17:00,29.672,29.672,0.0,19.468
2026-02-26 07:18:00,30.043,30.043,0.0,19.9687
2026-02-26 07:19:00,30.413,30.413,0.0,20.4756
2026-02-26 07:20:00,30.782,30.782,0.0,20.9886
2026-02-26 07:21:00,31.151,31.151,0.0,21.5078
